IP地址,端口,测试服务器(Colo),响应时间(ms),归属地,ISP服务商
40.233.110.251,443,AMS,204,加拿大 安大略 多伦多,Oracle Corporation
72.11.145.117,443,AMS,236,加拿大 安大略 多伦多,HostPapa
68.233.122.42,443,AMS,217,加拿大 Quebec 蒙特利尔,Oracle Corporation
167.160.190.137,443,AMS,247,美国,HostPapa
204.216.107.15,443,AMS,225,加拿大 Quebec 蒙特利尔,Oracle Corporation
158.69.112.254,443,AMS,235,加拿大 Quebec 蒙特利尔,OVH SAS
172.98.207.58,443,AMS,202,加拿大 安大略 士嘉堡,ADVANCED KNOWLEDGE NETWORKS
40.233.71.238,443,AMS,192,加拿大 安大略 多伦多,Oracle Corporation
159.203.2.180,443,AMS,203,美国,"DigitalOcean, LLC"
83.228.193.162,443,AMS,58,瑞士,Infomaniak Network SA
141.227.139.220,443,AMS,49,瑞士 苏黎世州 苏黎世,OVH SAS
38.180.162.104,443,AMS,47,瑞士 伯恩州,Private Layer INC
96.9.226.188,443,AMS,212,加拿大 安大略 多伦多,Amanah Tech Inc.
40.233.87.120,443,AMS,184,加拿大 安大略 多伦多,Oracle Corporation
94.131.12.56,443,AMS,41,摩尔多瓦,WorkTitans B.V.
40.233.77.216,443,AMS,209,加拿大 安大略 多伦多,Oracle Corporation
82.38.64.162,443,AMS,54,瑞士 苏黎世州 苏黎世,Hostkey B.v.
94.131.12.65,443,AMS,62,摩尔多瓦,WorkTitans B.V.
5.182.36.39,443,AMS,45,俄罗斯联邦,WorkTitans B.V.
23.173.104.205,443,AMS,336,加拿大 艾伯塔 卡尔加里,Unify Media Ltd
40.233.99.248,443,AMS,215,加拿大 安大略 多伦多,Oracle Corporation
91.245.225.69,443,AMS,108,瑞士 伯恩州 伯尔尼,Big Data Host LLC
83.228.193.188,443,AMS,59,瑞士,Infomaniak Network SA
176.10.125.114,443,AMS,39,瑞士 楚格州 Hünenberg,Datasource AG
38.180.85.203,443,AMS,41,瑞士 伯恩州 伯尔尼,Private Layer INC
152.67.85.239,443,AMS,48,瑞士 苏黎世州 苏黎世,Oracle Corporation
84.234.16.169,443,AMS,61,瑞士,Infomaniak Network SA
